Lead Origin,Lead Source,Converted,Last Activity,Specialization,What is your current occupation,Tags,A free copy of Mastering The Interview,Engagement Score,Lead Quality Score
Lead Add Form,Welingak Website,1,Modified,Finance Management,Unemployed,Will revert after reading the email,0,156.22115370536974,3
API,Referral Sites,0,Email Opened,Operations Management,Unemployed,in touch with EINS,0,138.66666666666666,2
Lead Add Form,Reference,1,Modified,Hospitality Management,Working Professional,Will revert after reading the email,0,100.48897204588108,1
API,Google,0,Email Opened,Finance Management,Unemployed,Ringing,0,26.2,2
Lead Add Form,Welingak Website,1,Modified,Finance Management,Unemployed,Will revert after reading the email,0,49.31799195443242,3
API,Olark Chat,1,Email Link Clicked,Operations Management,Working Professional,Will revert after reading the email,0,0.0,3
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
Landing Page Submission,Google,1,Page Visited on Website,IT Projects Management,Unemployed,Will revert after reading the email,0,170.4,3
API,Referral Sites,0,Email Opened,Finance Management,Unemployed,Ringing,0,50.25,2
API,Referral Sites,0,Email Opened,Finance Management,Unemployed,Ringing,0,20.0,2
Landing Page Submission,Direct Traffic,0,Email Opened,Supply Chain Management,Other,Ringing,1,29.1,2
Lead Add Form,Reference,1,Modified,Human Resource Management,Unemployed,Closed by Horizzon,0,143.53531184425853,4
Landing Page Submission,Organic Search,0,Converted to Lead,Rural and Agribusiness,Unemployed,Interested in other courses,1,72.33333333333333,2
API,Organic Search,0,Page Visited on Website,Finance Management,Unemployed,Interested in other courses,0,32.1,2
API,Olark Chat,1,Email Opened,Business Administration,Unemployed,Will revert after reading the email,1,173.70000000000002,3
Landing Page Submission,Google,0,Email Opened,Finance Management,Other,Ringing,0,26.933333333333334,2
Landing Page Submission,Google,0,Email Opened,Healthcare Management,Other,Ringing,0,565.65,2
Landing Page Submission,Direct Traffic,0,Unreachable,Finance Management,Unemployed,number not provided,1,80.4,2
Landing Page Submission,Direct Traffic,0,Unreachable,Marketing Management,Unemployed,Busy,0,21.466666666666665,2
Landing Page Submission,Google,0,Form Submitted on Website,Healthcare Management,Unemployed,Diploma holder (Not Eligible),0,34.06666666666667,2
API,Olark Chat,0,Olark Chat Conversation,Finance Management,Unemployed,opp hangup,0,0.0,2
API,Google,1,Olark Chat Conversation,Human Resource Management,Working Professional,Will revert after reading the email,0,462.5,3
Landing Page Submission,Direct Traffic,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,1,651.25,4
API,Referral Sites,0,Converted to Lead,Finance Management,Unemployed,Ringing,0,666.8083333333333,2
API,Olark Chat,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,0.0,3
Landing Page Submission,Google,0,Unreachable,Finance Management,Other,Ringing,0,647.1999999999999,2
Landing Page Submission,Direct Traffic,0,Page Visited on Website,Healthcare Management,Unemployed,switched off,1,42.53333333333333,2
API,Google,1,Page Visited on Website,Finance Management,Unemployed,Will revert after reading the email,0,498.3333333333333,3
Landing Page Submission,Organic Search,0,Email Opened,Supply Chain Management,Unemployed,Ringing,1,891.0,2
API,Google,0,Page Visited on Website,Not Specified,Other,Interested in other courses,0,56.25000000000001,2
API,Google,1,Olark Chat Conversation,Finance Management,Unemployed,Will revert after reading the email,0,24.75,3
Landing Page Submission,Google,0,Olark Chat Conversation,E-COMMERCE,Other,Ringing,1,119.4,2
API,Organic Search,0,Converted to Lead,Not Specified,Other,Interested in other courses,0,85.5,2
Landing Page Submission,Organic Search,1,Email Opened,Operations Management,Unemployed,Will revert after reading the email,1,537.0,3
Landing Page Submission,Google,1,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,0,317.3333333333333,3
Lead Add Form,Reference,1,Email Link Clicked,Business Administration,Working Professional,Closed by Horizzon,0,0.0,4
API,Direct Traffic,0,Converted to Lead,Finance Management,Unemployed,Graduation in progress,0,652.5,2
API,Google,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,302.9166666666667,4
Landing Page Submission,Google,0,Unreachable,Hospitality Management,Unemployed,Ringing,0,347.73333333333335,2
API,Organic Search,0,Email Opened,Not Specified,Other,Ringing,0,110.656,2
API,Google,0,Email Opened,Finance Management,Unemployed,Already a student,0,51.13333333333333,0
API,Referral Sites,0,Page Visited on Website,Finance Management,Unemployed,Interested in other courses,0,152.62499999999997,2
API,Organic Search,0,Converted to Lead,Finance Management,Unemployed,switched off,0,40.949999999999996,2
Lead Add Form,Reference,1,Modified,Marketing Management,Working Professional,Closed by Horizzon,0,158.35921694038848,1
Landing Page Submission,Google,0,Email Opened,Finance Management,Other,Ringing,0,147.73333333333332,2
API,Organic Search,1,Olark Chat Conversation,Finance Management,Unemployed,Will revert after reading the email,0,90.525,3
API,Google,0,Converted to Lead,Not Specified,Other,Ringing,0,1.3,2
Landing Page Submission,Google,0,Email Opened,Finance Management,Unemployed,Ringing,1,436.8,2
API,Referral Sites,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,226.13333333333333,2
Landing Page Submission,Direct Traffic,0,Converted to Lead,Finance Management,Unemployed,Already a student,1,2.1166666666666667,2
Landing Page Submission,Organic Search,0,Page Visited on Website,Supply Chain Management,Unemployed,switched off,1,41.66666666666667,2
Landing Page Submission,Google,0,Unsubscribed,International Business,Other,Ringing,0,86.13333333333334,2
API,Google,1,Olark Chat Conversation,Finance Management,Unemployed,Will revert after reading the email,0,5.333333333333333,3
Lead Add Form,Reference,1,Email Opened,Marketing Management,Businessman,Closed by Horizzon,0,0.0,4
API,Google,0,Converted to Lead,Finance Management,Unemployed,Interested in other courses,0,4.383333333333334,2
API,Google,0,Olark Chat Conversation,Finance Management,Unemployed,Interested in other courses,0,81.2,2
Lead Add Form,Reference,1,Modified,Marketing Management,Working Professional,Closed by Horizzon,0,140.54202331523229,4
Lead Add Form,Welingak Website,1,Modified,Finance Management,Unemployed,Will revert after reading the email,0,126.71588106211104,3
Landing Page Submission,Google,1,Unreachable,Finance Management,Unemployed,Will revert after reading the email,0,454.5833333333333,4
Landing Page Submission,Direct Traffic,0,Olark Chat Conversation,Supply Chain Management,Other,Ringing,1,77.6,2
Lead Add Form,Reference,1,Email Opened,Hospitality Management,Unemployed,Closed by Horizzon,0,0.0,4
API,Google,0,Olark Chat Conversation,Finance Management,Unemployed,Ringing,0,29.316666666666666,2
Landing Page Submission,Referral Sites,0,Email Opened,Services Excellence,Other,Ringing,1,16.741666666666667,2
Landing Page Submission,Google,0,Email Opened,Business Administration,Unemployed,Interested in other courses,0,160.83333333333334,2
API,Referral Sites,0,Page Visited on Website,Not Specified,Other,Ringing,0,43.2,2
Landing Page Submission,Google,1,Email Opened,Operations Management,Unemployed,Will revert after reading the email,0,667.9166666666666,4
Landing Page Submission,google,0,Page Visited on Website,Not Specified,Other,Ringing,0,43.28333333333333,2
API,Google,0,Unreachable,Finance Management,Unemployed,switched off,0,4.866666666666666,2
API,Google,0,Converted to Lead,Finance Management,Unemployed,Ringing,0,5.133333333333334,2
Landing Page Submission,Direct Traffic,0,Unreachable,Hospitality Management,Other,Ringing,1,107.7,2
Landing Page Submission,Google,0,Olark Chat Conversation,Marketing Management,Other,Ringing,0,60.12,2
Landing Page Submission,Google,0,Email Opened,Human Resource Management,Unemployed,Interested in other courses,0,48.333333333333336,3
Landing Page Submission,Direct Traffic,0,Email Opened,Hospitality Management,Unemployed,Not doing further education,1,46.8,2
Landing Page Submission,Organic Search,1,Unreachable,Finance Management,Unemployed,Will revert after reading the email,1,255.83333333333331,1
Landing Page Submission,Direct Traffic,1,Converted to Lead,IT Projects Management,Other,Lost to EINS,1,30.133333333333333,3
Landing Page Submission,Direct Traffic,0,Email Bounced,Finance Management,Unemployed,invalid number,1,7.8,2
Landing Page Submission,Direct Traffic,0,Unreachable,Finance Management,Unemployed,Ringing,1,36.75,3
Landing Page Submission,Organic Search,1,Email Opened,Operations Management,Unemployed,Will revert after reading the email,1,676.2666666666667,3
Landing Page Submission,Google,0,Email Bounced,Finance Management,Unemployed,switched off,0,3.7333333333333334,2
API,Referral Sites,0,Email Link Clicked,Finance Management,Unemployed,Interested in other courses,0,23.2,2
Landing Page Submission,Direct Traffic,0,Email Opened,Finance Management,Unemployed,Ringing,0,153.2,2
Landing Page Submission,Direct Traffic,0,Email Opened,E-COMMERCE,Other,Ringing,1,22.2,2
API,Organic Search,0,Email Opened,Finance Management,Unemployed,switched off,0,128.0335,2
Landing Page Submission,Direct Traffic,1,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,1,151.5,3
API,Olark Chat,1,Had a Phone Conversation,Operations Management,Unemployed,Will revert after reading the email,1,1007.3249999999999,4
Landing Page Submission,Direct Traffic,0,Email Link Clicked,Business Administration,Unemployed,Ringing,1,3.1333333333333333,2
Landing Page Submission,Direct Traffic,1,Email Opened,Operations Management,Unemployed,Will revert after reading the email,1,114.6,3
Landing Page Submission,Google,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,551.4,4
API,Organic Search,0,Email Link Clicked,Media and Advertising,Unemployed,Interested in other courses,0,161.66666666666666,2
API,Organic Search,0,Converted to Lead,Finance Management,Unemployed,Ringing,0,19.55,2
API,Google,0,Email Opened,Finance Management,Unemployed,Ringing,0,23.4,3
Landing Page Submission,Referral Sites,0,Email Link Clicked,Marketing Management,Other,Ringing,1,1183.2,2
Landing Page Submission,Direct Traffic,0,Page Visited on Website,Operations Management,Unemployed,Ringing,1,28.575,2
API,Referral Sites,0,Email Opened,Not Specified,Other,Ringing,0,129.6,2
Landing Page Submission,Google,0,Unreachable,Human Resource Management,Unemployed,Ringing,0,27.083333333333332,3
API,Organic Search,0,Email Opened,Business Administration,Other,Interested in other courses,1,1089.4333333333334,2
API,Google,0,Form Submitted on Website,"Banking, Investment And Insurance",Other,Interested in other courses,0,502.25,2
Lead Add Form,Reference,1,Email Opened,Finance Management,Working Professional,Will revert after reading the email,0,0.0,1
API,Google,0,Email Bounced,Finance Management,Unemployed,wrong number given,0,4.166666666666667,2
Landing Page Submission,Direct Traffic,0,Email Link Clicked,Business Administration,Other,Ringing,1,25.533333333333335,2
Lead Add Form,Welingak Website,1,Modified,Finance Management,Unemployed,Closed by Horizzon,0,176.74656076154972,1
Lead Add Form,Reference,1,Email Opened,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,0,0.0,3
Lead Add Form,Welingak Website,1,Modified,Finance Management,Unemployed,Will revert after reading the email,0,65.2821974425724,3
Lead Add Form,Welingak Website,1,Modified,Finance Management,Unemployed,Will revert after reading the email,0,151.08980194132477,3
API,Olark Chat,0,Email Opened,Finance Management,Unemployed,Interested in other courses,0,0.0,2
API,Referral Sites,0,Olark Chat Conversation,Finance Management,Unemployed,Already a student,0,241.06666666666666,2
API,Google,0,Converted to Lead,Not Specified,Other,Interested in other courses,0,2.7333333333333334,2
API,Google,0,Converted to Lead,Finance Management,Unemployed,in touch with EINS,0,119.53333333333333,2
API,Organic Search,0,Olark Chat Conversation,Finance Management,Unemployed,Interested in other courses,0,767.0833333333334,2
API,Organic Search,1,Email Link Clicked,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,0,312.212,3
Lead Add Form,Reference,1,Unreachable,Retail Management,Unemployed,Closed by Horizzon,0,0.0,4
Landing Page Submission,Organic Search,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,1,1693.1999999999998,3
API,Organic Search,1,Converted to Lead,Finance Management,Unemployed,Will revert after reading the email,0,231.0,1
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Google,0,Page Visited on Website,Media and Advertising,Other,Ringing,0,23.256,2
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
Landing Page Submission,Google,0,Email Opened,International Business,Other,Ringing,0,28.8,2
Landing Page Submission,Google,0,Olark Chat Conversation,Finance Management,Other,Ringing,0,128.75,2
Lead Add Form,Reference,1,Approached upfront,Finance Management,Unemployed,Will revert after reading the email,0,111.89197596598108,3
API,Organic Search,0,Email Opened,Finance Management,Unemployed,switched off,0,91.2,2
API,Google,0,Email Opened,Finance Management,Unemployed,Ringing,0,2.6,2
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Organic Search,1,Email Opened,International Business,Student,Will revert after reading the email,0,171.73166666666665,1
API,Organic Search,0,Olark Chat Conversation,Finance Management,Unemployed,switched off,0,14.933333333333334,0
API,Olark Chat,0,Olark Chat Conversation,Finance Management,Unemployed,Interested in other courses,0,0.0,2
API,Referral Sites,0,Unreachable,Finance Management,Unemployed,wrong number given,0,20.533333333333335,2
API,Referral Sites,1,Olark Chat Conversation,Finance Management,Unemployed,Will revert after reading the email,0,194.85,3
Lead Add Form,Reference,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,0.0,4
API,Referral Sites,0,Email Opened,Finance Management,Unemployed,Interested in other courses,0,30.466666666666665,2
API,Organic Search,0,Page Visited on Website,Finance Management,Unemployed,Busy,0,149.16666666666666,2
Landing Page Submission,Direct Traffic,0,Email Link Clicked,"Banking, Investment And Insurance",Other,Ringing,1,72.15,2
API,Direct Traffic,0,Olark Chat Conversation,Finance Management,Unemployed,Interested  in full time MBA,0,13.666666666666666,2
Landing Page Submission,Direct Traffic,1,Converted to Lead,Finance Management,Unemployed,Will revert after reading the email,1,18.433333333333334,3
Landing Page Submission,Direct Traffic,1,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,0,527.31,3
Lead Add Form,Reference,1,Modified,Marketing Management,Unemployed,Will revert after reading the email,0,152.51517743133724,4
Lead Add Form,Reference,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,0.0,3
Landing Page Submission,Google,0,Form Submitted on Website,Finance Management,Other,Ringing,0,43.125,2
Landing Page Submission,Direct Traffic,1,Email Opened,E-COMMERCE,Unemployed,Will revert after reading the email,0,105.8,3
Landing Page Submission,Direct Traffic,1,Email Opened,E-Business,Unemployed,Lost to EINS,1,100.6,0
API,Organic Search,0,Unreachable,Finance Management,Unemployed,switched off,0,88.26666666666667,3
Landing Page Submission,Direct Traffic,0,Email Link Clicked,Human Resource Management,Unemployed,Ringing,1,49.86666666666667,2
API,Organic Search,1,Converted to Lead,Human Resource Management,Unemployed,Will revert after reading the email,0,105.52499999999999,3
Lead Add Form,Reference,1,Email Opened,Finance Management,Working Professional,Closed by Horizzon,0,0.0,4
Landing Page Submission,Google,0,Converted to Lead,Finance Management,Unemployed,Interested  in full time MBA,0,2.05,3
API,Organic Search,0,Converted to Lead,Finance Management,Unemployed,Interested in other courses,0,1.6666666666666667,2
Landing Page Submission,Direct Traffic,1,Email Opened,Healthcare Management,Unemployed,Will revert after reading the email,1,785.6999999999999,3
API,Olark Chat,0,Email Opened,Not Specified,Other,Ringing,0,0.0,2
Landing Page Submission,Direct Traffic,1,Unreachable,Rural and Agribusiness,Unemployed,Will revert after reading the email,0,22.7,3
API,Direct Traffic,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,429.1583333333333,2
Landing Page Submission,Google,0,Converted to Lead,Finance Management,Unemployed,Interested in other courses,0,121.06666666666666,2
Landing Page Submission,Direct Traffic,0,Unreachable,Finance Management,Unemployed,Ringing,0,20.11566666666667,2
API,Organic Search,0,Email Opened,Finance Management,Unemployed,Ringing,0,76.05,2
Landing Page Submission,Direct Traffic,1,Email Opened,Finance Management,Other,Lost to EINS,1,177.45,3
Landing Page Submission,Direct Traffic,0,Email Opened,IT Projects Management,Unemployed,switched off,1,9.9,2
API,Olark Chat,0,Email Opened,Not Specified,Other,Ringing,0,84.14999999999999,2
Landing Page Submission,Organic Search,0,Email Opened,Supply Chain Management,Unemployed,Will revert after reading the email,1,81.0,3
Landing Page Submission,Direct Traffic,0,Olark Chat Conversation,E-Business,Other,Ringing,1,82.88999999999999,2
Landing Page Submission,Organic Search,0,Email Opened,International Business,Unemployed,Interested in other courses,1,33.6,3
API,Olark Chat,0,Email Opened,Finance Management,Unemployed,Ringing,0,0.0,2
Landing Page Submission,google,0,Page Visited on Website,Not Specified,Other,Ringing,0,127.49999999999999,2
Landing Page Submission,Direct Traffic,1,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,1,94.73333333333333,1
Landing Page Submission,Direct Traffic,0,Email Opened,Human Resource Management,Unemployed,Ringing,1,70.26666666666667,2
API,Organic Search,1,Converted to Lead,Operations Management,Unemployed,Will revert after reading the email,0,29.25,3
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
Landing Page Submission,Google,1,Email Opened,Operations Management,Working Professional,Will revert after reading the email,0,109.8,3
API,Olark Chat,0,Page Visited on Website,Human Resource Management,Unemployed,Ringing,1,307.1716666666667,2
API,Organic Search,0,Had a Phone Conversation,Finance Management,Unemployed,Ringing,0,557.271,2
API,Organic Search,0,Email Opened,Not Specified,Other,Ringing,0,465.4166666666667,2
API,Referral Sites,0,Unreachable,Finance Management,Unemployed,Ringing,0,1156.4,3
API,Google,0,Unreachable,Finance Management,Unemployed,Ringing,0,32.55,3
API,Olark Chat,0,Olark Chat Conversation,Finance Management,Unemployed,Interested in other courses,0,0.0,2
API,Direct Traffic,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,382.7083333333333,4
Landing Page Submission,Google,0,Converted to Lead,Human Resource Management,Other,Interested in other courses,0,5.033333333333333,2
Landing Page Submission,Google,0,Page Visited on Website,Human Resource Management,Other,Ringing,0,19.2,2
Landing Page Submission,Direct Traffic,0,Converted to Lead,Human Resource Management,Unemployed,switched off,1,20.433333333333334,2
Landing Page Submission,Google,0,Email Opened,Operations Management,Other,Ringing,0,38.4,2
API,Organic Search,1,Olark Chat Conversation,Finance Management,Unemployed,Will revert after reading the email,0,21.033333333333335,3
Landing Page Submission,Direct Traffic,1,Converted to Lead,Operations Management,Student,Lost to EINS,1,14.85,1
API,Olark Chat,0,Olark Chat Conversation,Finance Management,Unemployed,Interested in other courses,0,0.0,2
API,Google,0,Email Opened,Not Specified,Other,Ringing,0,35.25,2
Landing Page Submission,Google,0,Email Link Clicked,Services Excellence,Other,Ringing,0,30.2,2
API,Referral Sites,0,Page Visited on Website,Finance Management,Unemployed,Interested in other courses,0,4.5,2
Lead Add Form,Welingak Website,1,Email Opened,Finance Management,Unemployed,Closed by Horizzon,0,0.0,3
API,Organic Search,0,Page Visited on Website,Finance Management,Unemployed,Interested in other courses,0,64.8,2
Lead Add Form,Welingak Website,1,Email Opened,Finance Management,Unemployed,Will revert after reading the email,0,0.0,3
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Referral Sites,1,Olark Chat Conversation,Finance Management,Working Professional,Will revert after reading the email,0,1663.75,1
API,Olark Chat,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,0.0,2
API,Direct Traffic,0,Page Visited on Website,Finance Management,Unemployed,Ringing,0,10.083333333333332,2
Lead Add Form,Reference,1,Modified,Finance Management,Unemployed,Will revert after reading the email,0,242.8839834981296,3
API,Organic Search,1,Olark Chat Conversation,Finance Management,Unemployed,Will revert after reading the email,0,57.7,3
Lead Add Form,Reference,1,Modified,Operations Management,Unemployed,Will revert after reading the email,0,179.8823868395772,4
Lead Add Form,Reference,1,Email Opened,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,0,0.0,3
Landing Page Submission,Referral Sites,1,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,1,31.200000000000003,3
API,Google,0,Email Opened,Not Specified,Other,Ringing,0,49.65,2
Landing Page Submission,Google,0,Email Opened,Healthcare Management,Unemployed,switched off,0,61.25000000000001,2
API,Organic Search,0,Email Opened,Not Specified,Other,Ringing,0,143.75,2
API,Google,0,Olark Chat Conversation,Not Specified,Other,Ringing,0,11.466666666666667,2
Landing Page Submission,Google,1,Email Opened,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,0,60.8,1
